time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-23T13:30:20.240Z,38.7478333,-122.7060013,1.49,2.67,md,30,60,0.02015,0.06,nc,nc73486181,2020-11-23T13:51:07.430Z,"3km SSW of Anderson Springs, CA",earthquake,0.27,0.37,0.12,13,automatic,nc,nc
2020-11-23T13:22:10.646Z,62.7773,-143.619,11,1.5,ml,,,,0.94,ak,ak020f2o57fl,2020-11-23T13:26:56.933Z,"17 km SSE of Mentasta Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-23T13:20:22.670Z,38.8216667,-122.7891693,1.15,0.55,md,8,122,0.0107,0.01,nc,nc73486176,2020-11-23T13:51:07.608Z,"6km NNW of The Geysers, CA",earthquake,0.48,1.03,,1,automatic,nc,nc
2020-11-23T13:15:17.330Z,38.7898331,-122.7818298,3.66,0.56,md,10,119,0.005814,0.02,nc,nc73486171,2020-11-23T13:40:05.376Z,"3km WNW of The Geysers, CA",earthquake,0.64,1.56,,1,automatic,nc,nc
2020-11-23T13:13:40.340Z,35.7535,-117.5713333,4.54,1.45,ml,21,84,0.06565,0.15,ci,ci39474775,2020-11-23T13:17:29.577Z,"15km W of Searles Valley, CA",earthquake,0.26,0.61,0.106,23,automatic,ci,ci
2020-11-23T13:12:10.160Z,38.1452,-117.9688,1,0.5,ml,9,132.51,0.01,0.15,nn,nn00785890,2020-11-23T13:41:01.877Z,"29 km SSE of Mina, Nevada",earthquake,,5.1,,,automatic,nn,nn
2020-11-23T13:06:20.200Z,38.1833,-117.739,12.6,2.3,ml,25,87.67,0.073,0.07,nn,nn00785888,2020-11-23T13:13:46.905Z,"39 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-11-23T13:05:49.570Z,38.814167,-122.8178329,2.43,0.57,md,17,56,0.01032,0.03,nc,nc73486166,2020-11-23T13:30:06.327Z,"7km NW of The Geysers, CA",earthquake,0.29,0.75,0.01,2,automatic,nc,nc
2020-11-23T12:55:38.160Z,46.741,-112.5416667,8.74,2.02,ml,24,62,0.132,0.17,mb,mb80477214,2020-11-23T15:18:49.870Z,"16 km NNE of Avon, Montana",earthquake,0.29,0.76,0.144,14,reviewed,mb,mb
2020-11-23T12:51:24.140Z,38.822834,-122.80867,2.5,1.99,md,39,37,0.001231,0.06,nc,nc73486156,2020-11-23T13:19:04.273Z,"7km NW of The Geysers, CA",earthquake,0.19,0.3,0.08,17,automatic,nc,nc
2020-11-23T12:50:33.570Z,35.8941667,-117.7201667,7.88,0.55,ml,10,101,0.078,0.12,ci,ci39474751,2020-11-23T14:29:16.377Z,"17km ESE of Little Lake, CA",earthquake,0.36,0.91,0.155,7,reviewed,ci,ci
2020-11-23T12:44:03.490Z,38.7786674,-122.7211685,1.89,0.94,md,10,82,0.01299,0.01,nc,nc73486151,2020-11-23T13:09:06.216Z,"3km W of Anderson Springs, CA",earthquake,0.31,0.71,0.08,3,automatic,nc,nc
2020-11-23T12:38:55.160Z,38.8201675,-122.8446655,2.14,0.57,md,15,75,0.008082,0.02,nc,nc73486146,2020-11-23T12:40:30.724Z,"9km WNW of The Geysers, CA",earthquake,0.25,0.5,0.01,3,automatic,nc,nc
2020-11-23T12:33:43.130Z,35.7125,-117.5106667,2.81,0.98,ml,12,164,0.1249,0.18,ci,ci39474743,2020-11-23T12:37:16.277Z,"11km WSW of Searles Valley, CA",earthquake,0.55,1.59,0.069,8,automatic,ci,ci
2020-11-23T12:29:20.383Z,63.9349,-148.7942,0,1.8,ml,,,,0.79,ak,ak020f2nlal1,2020-11-23T12:41:02.024Z,"12 km NE of Healy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-23T12:19:41.410Z,35.8764992,-117.6760025,8.55,0.72,ml,13,88,0.07422,0.13,ci,ci39474719,2020-11-23T12:23:17.185Z,"22km ESE of Little Lake, CA",earthquake,0.56,1.68,0.179,4,automatic,ci,ci
2020-11-23T12:17:55.960Z,38.199,-117.8552,9.8,0.5,ml,11,105.65,0.018,0.02,nn,nn00785887,2020-11-23T13:07:21.172Z,"30 km SE of Mina, Nevada",earthquake,,6.7,,,automatic,nn,nn
2020-11-23T12:11:21.836Z,62.0401,-150.1501,21.7,1.8,ml,,,,0.58,ak,ak020f2nhfrl,2020-11-23T12:32:20.534Z,"20 km SW of Susitna North, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-23T12:08:55.480Z,38.8201675,-122.8451691,2.08,0.75,md,19,75,0.00845,0.01,nc,nc73486131,2020-11-23T12:10:30.502Z,"9km WNW of The Geysers, CA",earthquake,0.21,0.43,0.15,3,automatic,nc,nc
2020-11-23T11:57:02.250Z,38.0402,-118.7907,9.9,1.4,ml,18,76.79,0.312,0.11,nn,nn00785884,2020-11-23T12:20:03.846Z,"30 km ENE of Lee Vining, California",earthquake,,6.1,,,automatic,nn,nn
2020-11-23T11:46:44.933Z,68.803,-142.8428,3.7,1.9,ml,,,,0.88,ak,ak020f2n3kb4,2020-11-23T11:59:46.947Z,"133 km ENE of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-23T11:43:28.830Z,35.8741667,-117.7101667,7.24,1.97,ml,27,51,0.07913,0.23,ci,ci39474687,2020-11-23T11:56:52.234Z,"19km ESE of Little Lake, CA",earthquake,0.33,0.99,0.181,26,automatic,ci,ci
2020-11-23T11:27:30.660Z,38.2002,-117.748,12.7,1.3,ml,24,123.51,0.119,0.07,nn,nn00785878,2020-11-23T11:44:43.857Z,"37 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-11-23T11:22:43.240Z,38.1525,-117.93,0,1.3,ml,12,83.62,0.044,0.3,nn,nn00785876,2020-11-23T11:28:42.331Z,"30 km SSE of Mina, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-11-23T11:22:20.810Z,36.9596672,-121.5891647,2.41,1.38,md,11,90,0.007177,0.11,nc,nc73486116,2020-11-23T12:45:07.070Z,"6km SSW of Gilroy, CA",earthquake,0.38,0.64,0.17,10,automatic,nc,nc
2020-11-23T11:19:56.630Z,35.8796667,-117.698,11.92,0.95,ml,11,90,0.0783,0.09,ci,ci39474663,2020-11-23T11:23:47.185Z,"20km ESE of Little Lake, CA",earthquake,0.27,0.74,0.128,11,automatic,ci,ci
2020-11-23T11:19:39.560Z,35.8741667,-117.7078333,9.13,0.99,ml,12,69,0.08021,0.13,ci,ci39474655,2020-11-23T11:23:26.328Z,"19km ESE of Little Lake, CA",earthquake,0.29,0.91,0.223,14,automatic,ci,ci
2020-11-23T11:18:09.990Z,38.1745,-117.8082,10.1,1.7,ml,22,117.71,0.068,0.09,nn,nn00785874,2020-11-23T11:24:03.564Z,"35 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-23T11:05:19.374Z,12.0921,-87.1071,78.82,4.5,mb,,134,0.606,0.83,us,us6000crlg,2020-11-23T12:35:39.040Z,"43 km S of Corinto, Nicaragua",earthquake,6.2,7.2,0.043,158,reviewed,us,us
2020-11-23T10:59:44.870Z,38.1842,-117.8092,9,1.1,ml,13,132.31,0.055,0.03,nn,nn00785871,2020-11-23T11:19:23.915Z,"34 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-23T10:55:28.600Z,38.1122,-118.1043,0.9,1.2,ml,15,133.32,0.048,0.21,nn,nn00785868,2020-11-23T11:00:42.909Z,"30 km S of Mina, Nevada",earthquake,,16.2,,,automatic,nn,nn
2020-11-23T10:50:45.440Z,19.40983391,-155.2845001,0.439999998,1.84000003,md,15,73,,0.119999997,hv,hv72241507,2020-11-23T10:56:16.770Z,"6 km SW of Volcano, Hawaii",earthquake,0.17,0.319999993,0.839999974,11,automatic,hv,hv
2020-11-23T10:45:36.290Z,33.6736667,-116.7148333,14.52,0.74,ml,24,63,0.03741,0.13,ci,ci39474639,2020-11-23T14:30:34.755Z,"7km S of Idyllwild, CA",earthquake,0.3,0.45,0.129,21,reviewed,ci,ci
2020-11-23T10:33:15.250Z,35.8061667,-117.6505,1.14,1.83,ml,16,72,0.04412,0.19,ci,ci39474623,2020-11-23T10:37:03.027Z,"21km N of Ridgecrest, CA",earthquake,0.28,0.47,0.145,26,automatic,ci,ci
2020-11-23T10:25:16.870Z,18.8568,-65.135,33,3.37,md,12,329,1.0101,0.32,pr,pr2020328006,2020-11-23T10:52:59.915Z,"60 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.35,15.37,0.07,7,reviewed,pr,pr
2020-11-23T10:22:28.610Z,33.4893333,-116.8051667,4.28,0.51,ml,22,43,0.02333,0.19,ci,ci39474615,2020-11-23T10:26:11.958Z,"8km NE of Aguanga, CA",earthquake,0.28,0.73,0.185,15,automatic,ci,ci
2020-11-23T10:19:02.600Z,36.529,-98.99116667,7.93,1.71,ml,50,61,0.044991171,0.13,ok,ok2020xafy,2020-11-23T13:27:42.388Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.27,24,reviewed,ok,ok
2020-11-23T10:18:11.520Z,35.9953333,-117.2866667,1.38,1.34,ml,11,219,0.1042,0.15,ci,ci39474607,2020-11-23T10:21:55.777Z,"27km NNE of Trona, CA",earthquake,0.66,0.48,0.142,12,automatic,ci,ci
2020-11-23T10:16:56.180Z,19.15216637,-155.4738312,34.49000168,1.95000005,md,31,200,,0.109999999,hv,hv72241482,2020-11-23T10:20:04.980Z,"5 km S of PÄhala, Hawaii",earthquake,0.89,1.02999997,0.970000029,3,automatic,hv,hv
2020-11-23T10:15:05.530Z,18.0405,-66.7045,10,2.06,md,10,159,0.0983,0.17,pr,pr2020328008,2020-11-23T11:28:44.667Z,"1 km SSW of Tallaboa Alta, Puerto Rico",earthquake,0.49,0.64,0,3,reviewed,pr,pr
2020-11-23T10:13:25.634Z,61.1675,-148.1118,15.4,2.1,ml,,,,1.18,ak,ak020f2mb0b8,2020-11-23T10:18:56.859Z,"53 km NE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-23T10:11:27.224Z,61.4089,-149.9252,33.9,2,ml,,,,0.68,ak,ak020f2mal09,2020-11-23T10:15:36.307Z,"6 km NNE of Point MacKenzie, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-11-23T10:09:47.980Z,19.24099922,-155.4098358,32.09000015,1.74000001,md,39,105,,0.119999997,hv,hv72241477,2020-11-23T10:12:50.230Z,"8 km ENE of PÄhala, Hawaii",earthquake,0.67,0.870000005,0.07,5,automatic,hv,hv
2020-11-23T10:03:31.460Z,19.21583366,-155.3986664,31.51000023,1.82000005,md,29,157,,0.100000001,hv,hv72241472,2020-11-23T10:06:53.040Z,"8 km E of PÄhala, Hawaii",earthquake,0.76,0.920000017,1.82000005,4,automatic,hv,hv
2020-11-23T09:58:27.769Z,36.4745,-98.73816667,8.54,0.72,ml,16,83,0.035093114,0.06,ok,ok2020xaff,2020-11-23T13:48:14.328Z,"17 km SE of Waynoka, Oklahoma",earthquake,,0.3,0.22,5,reviewed,ok,ok
2020-11-23T09:51:23.450Z,35.8553352,-117.6903305,7.79,1.42,ml,23,52,0.07647,0.12,ci,ci39474599,2020-11-23T09:55:09.595Z,"22km ESE of Little Lake, CA",earthquake,0.28,0.82,0.158,7,automatic,ci,ci
2020-11-23T09:27:53.110Z,38.1767,-117.8272,9.8,1.5,ml,20,57.13,0.025,0.11,nn,nn00785857,2020-11-23T09:52:23.668Z,"34 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-23T09:26:02.990Z,38.0363,-118.7822,12.2,1.4,ml,13,123.14,0.321,0.05,nn,nn00785855,2020-11-23T09:29:21.526Z,"31 km ENE of Lee Vining, California",earthquake,,4,,,automatic,nn,nn
2020-11-23T09:24:08.600Z,19.48466682,-155.6694946,2.829999924,2.34,ml,28,81,,0.219999999,hv,hv72241417,2020-11-23T09:29:38.600Z,"20 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.45,0.889999986,0.61,8,automatic,hv,hv
2020-11-23T09:07:26.339Z,35.79866667,-96.65066667,7.93,1.47,ml,65,54,0.125975279,0.19,ok,ok2020xado,2020-11-23T14:30:41.003Z,"5 km N of Stroud, Oklahoma",earthquake,,0.4,0.17,31,reviewed,ok,ok
2020-11-23T08:59:49.310Z,35.852,-117.6683333,4.11,1.12,ml,16,90,0.06798,0.18,ci,ci39474575,2020-11-23T09:03:25.798Z,"23km ESE of Little Lake, CA",earthquake,0.31,0.77,0.114,17,automatic,ci,ci
2020-11-23T08:29:51.090Z,36.0365,-117.7761667,2.76,1.08,ml,11,163,0.06006,0.18,ci,ci39474567,2020-11-23T08:33:34.050Z,"16km E of Coso Junction, CA",earthquake,0.49,1.44,0.084,15,automatic,ci,ci
2020-11-23T08:18:03.410Z,17.8193,-65.6323,5,2.87,md,6,318,0.3887,0.54,pr,pr2020328007,2020-11-23T11:01:30.123Z,"33 km SE of Emajagua, Puerto Rico",earthquake,4.37,4.22,0.21,4,reviewed,pr,pr
2020-11-23T08:04:28.750Z,38.161,-117.8753,5.8,1.6,ml,21,58.34,0.016,0.14,nn,nn00785851,2020-11-23T08:08:03.399Z,"32 km SE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-11-23T08:02:45.140Z,38.838501,-122.8253326,1.62,0.57,md,18,68,0.007931,0.02,nc,nc73486081,2020-11-23T09:18:04.850Z,"9km WNW of Cobb, CA",earthquake,0.25,0.47,0.26,3,automatic,nc,nc
2020-11-23T08:02:17.164Z,61.1206,-151.9185,81.8,1.8,ml,,,,0.91,ak,ak020f2l1rlo,2020-11-23T10:13:56.018Z,"42 km W of Tyonek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-23T07:47:51.010Z,33.2093333,-115.562,3.61,1.42,ml,29,71,0.05507,0.27,ci,ci39474543,2020-11-23T15:16:55.774Z,"5km SW of Niland, CA",earthquake,0.27,0.37,0.188,20,reviewed,ci,ci
2020-11-23T07:45:47.479Z,35.79966667,-96.656,7.09,1.12,ml,47,60,0.125975279,0.17,ok,ok2020xaav,2020-11-23T14:35:02.678Z,"5 km N of Stroud, Oklahoma",earthquake,,0.4,0.21,17,reviewed,ok,ok
2020-11-23T07:41:47.670Z,38.8251648,-122.8089981,1.1,0.56,md,7,93,0.001957,0.01,nc,nc73486066,2020-11-23T07:57:07.341Z,"7km NW of The Geysers, CA",earthquake,0.35,1.16,,1,automatic,nc,nc
2020-11-23T07:37:25.860Z,37.4122,-117.8733,14.8,0.8,ml,10,215.64,0.284,0.23,nn,nn00785850,2020-11-23T08:05:21.278Z,"33 km SSE of Dyer, Nevada",earthquake,,3.9,,,automatic,nn,nn
2020-11-23T07:31:48.300Z,37.4168,-117.8025,5.5,0.8,ml,14,191.92,0.227,0.05,nn,nn00785848,2020-11-23T07:38:41.209Z,"36 km SE of Dyer, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-23T07:30:10.655Z,61.4919,-150.9047,71.1,1.4,ml,,,,0.23,ak,ak020f2kmbep,2020-11-23T08:05:12.894Z,"21 km WSW of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-23T07:27:31.510Z,38.1795,-117.8878,6.8,1.2,ml,17,74.32,0.023,0.08,nn,nn00785845,2020-11-23T07:33:01.796Z,"30 km SE of Mina, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-11-23T07:22:40.010Z,32.7471667,-115.8196667,5.78,1,ml,13,120,0.1253,0.19,ci,ci39474535,2020-11-23T14:33:24.081Z,"16km E of Ocotillo, CA",earthquake,0.57,1.47,0.27,10,reviewed,ci,ci
2020-11-23T07:12:08.780Z,35.752,-117.5745,3.27,0.81,ml,12,130,0.0663,0.19,ci,ci39474527,2020-11-23T07:15:55.408Z,"16km W of Searles Valley, CA",earthquake,0.4,1.48,0.11,9,automatic,ci,ci
2020-11-23T07:10:31.370Z,33.2168333,-115.5558333,1.14,1.23,ml,14,92,0.06368,0.18,ci,ci39474519,2020-11-23T07:14:33.637Z,"4km SW of Niland, CA",earthquake,0.31,31.61,0.186,21,automatic,ci,ci
2020-11-23T07:02:52.650Z,45.11249924,-120.7693329,20.59000015,2.71000004,md,22,166,,0.159999996,uw,uw61692577,2020-11-23T10:28:52.951Z,"12 km N of Shaniko, Oregon",earthquake,0.62,1.25999999,0.25999999,8,automatic,uw,uw
2020-11-23T06:44:57.180Z,39.242,-120.0997,11.4,0.9,ml,10,90.73,0.051,0.11,nn,nn00785843,2020-11-23T07:28:42.185Z,"2 km NW of Carnelian Bay, California",earthquake,,1.1,,,automatic,nn,nn
2020-11-23T06:30:47.660Z,38.762,-122.4235,7.24,1.18,md,11,91,0.04762,0.08,nc,nc73486051,2020-11-23T12:17:25.097Z,"13km ESE of Hidden Valley Lake, CA",earthquake,0.35,0.69,0.088,11,reviewed,nc,nc
2020-11-23T06:12:23.029Z,59.7186,-152.3197,65,2.4,ml,,,,0.51,ak,ak020f2jx204,2020-11-23T07:33:19.374Z,"28 km WSW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-23T06:10:16.230Z,37.6185,-118.8516667,-0.32,0.92,md,9,116,0.008976,0.02,nc,nc73486046,2020-11-23T11:38:04.644Z,"11km E of Mammoth Lakes, CA",earthquake,0.24,0.29,0.294,8,reviewed,nc,nc
2020-11-23T06:06:16.950Z,40.3344994,-124.8160019,8.19,2.84,md,20,245,0.3916,0.16,nc,nc73486041,2020-11-23T08:01:04.364Z,"45km W of Petrolia, CA",earthquake,2.07,2.32,0.11,14,automatic,nc,nc
2020-11-23T05:53:27.680Z,39.2816658,-123.2506638,0.06,1.46,md,8,119,0.04728,0.08,nc,nc73486036,2020-11-23T07:46:05.277Z,"4km WNW of Redwood Valley, CA",earthquake,0.55,2.1,0.12,5,automatic,nc,nc
2020-11-23T05:37:40.170Z,37.618,-118.8523331,-0.45,1.69,md,9,118,0.008491,0.04,nc,nc73486031,2020-11-23T07:21:06.112Z,"11km E of Mammoth Lakes, CA",earthquake,0.3,0.27,0.17,9,automatic,nc,nc
2020-11-23T05:36:33.890Z,37.618,-118.8519974,-0.23,1.88,md,10,117,0.008756,0.02,nc,nc73486026,2020-11-23T06:56:03.976Z,"11km E of Mammoth Lakes, CA",earthquake,0.29,0.35,0.11,10,automatic,nc,nc
2020-11-23T05:32:43.990Z,37.618,-118.8521652,-0.34,1.29,md,9,118,0.008623,0.02,nc,nc73486016,2020-11-23T06:30:04.793Z,"11km E of Mammoth Lakes, CA",earthquake,0.32,0.3,0.23,9,automatic,nc,nc
2020-11-23T05:32:03.600Z,37.6173333,-118.8523333,-0.41,0.83,md,9,119,0.008594,0.03,nc,nc73486021,2020-11-23T11:15:44.348Z,"11km E of Mammoth Lakes, CA",earthquake,0.24,0.25,0.499,9,reviewed,nc,nc
2020-11-23T05:26:32.220Z,38.1558,-117.8438,0,1.2,ml,12,106.45,0.07,0.43,nn,nn00785841,2020-11-23T06:46:00.763Z,"34 km SE of Mina, Nevada",earthquake,,22.2,,,automatic,nn,nn
2020-11-23T05:24:29.152Z,65.9702,-150.8209,11.9,1.5,ml,,,,0.98,ak,ak020f2je7hx,2020-11-23T06:15:00.666Z,"59 km NNW of Rampart, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-23T05:10:41.380Z,33.6358337,-116.7353363,19.13,0.87,ml,19,71,0.0484,0.16,ci,ci39474479,2020-11-23T05:14:31.616Z,"11km NNW of Anza, CA",earthquake,0.64,0.97,0.359,5,automatic,ci,ci
2020-11-23T05:10:16.800Z,38.7980003,-122.7378311,1.76,0.65,md,10,106,0.01477,0.02,nc,nc73485996,2020-11-23T05:40:05.513Z,"3km NE of The Geysers, CA",earthquake,0.37,1.49,0.07,2,automatic,nc,nc
2020-11-23T04:54:40.680Z,36.7797,-117.3752,0.1,1.3,ml,15,128.35,0.218,0.37,nn,nn00785836,2020-11-23T05:20:41.917Z,"55 km NE of Keeler, California",earthquake,,18.5,,,automatic,nn,nn
2020-11-23T04:52:41.930Z,33.918,-116.7645,19.07,0.84,ml,25,69,0.08852,0.22,ci,ci39474471,2020-11-23T04:56:18.510Z,"2km E of Cabazon, CA",earthquake,0.46,0.76,0.171,23,automatic,ci,ci
2020-11-23T04:49:16.800Z,39.556,-120.0198,12.5,1.7,ml,21,75.53,0.077,0.07,nn,nn00785834,2020-11-23T04:55:42.395Z,"3 km N of Verdi, California",earthquake,,0.9,,,automatic,nn,nn
2020-11-23T04:45:09.670Z,38.1557,-117.9832,9.8,0.7,ml,11,132.38,0.024,0.03,nn,nn00785832,2020-11-23T04:50:00.561Z,"28 km SSE of Mina, Nevada",earthquake,,6.4,,,automatic,nn,nn
2020-11-23T04:44:27.930Z,18.0041,-66.741,5,1.75,md,12,148,0.1402,0.12,pr,pr2020328005,2020-11-23T05:28:48.156Z,"2 km WNW of Tallaboa, Puerto Rico",earthquake,0.38,0.28,0.15,6,reviewed,pr,pr
2020-11-23T04:32:25.030Z,17.9713,-66.9253,10,1.88,md,11,182,0.0463,0.11,pr,pr2020328004,2020-11-23T05:00:03.108Z,"1 km W of GuÃ¡nica, Puerto Rico",earthquake,0.33,0.38,0.09,7,reviewed,pr,pr
2020-11-23T04:27:30.294Z,61.7437,-150.8241,67.5,1.6,ml,,,,0.58,ak,ak020f2itf2d,2020-11-23T04:31:10.217Z,"27 km NW of Susitna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-11-23T04:27:06.000Z,38.1722,-117.8775,7.3,0.8,ml,10,93.94,0.015,0.01,nn,nn00785829,2020-11-23T04:41:40.441Z,"31 km SE of Mina, Nevada",earthquake,,6.8,,,automatic,nn,nn
2020-11-23T04:26:46.356Z,63.4735,-148.5902,8.9,1.4,ml,,,,0.68,ak,ak020f2it8kr,2020-11-23T04:32:50.504Z,"20 km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-23T04:25:56.350Z,36.4605,-98.76433333,8.26,2.13,ml,71,65,0,0.17,ok,ok2020wzuh,2020-11-23T14:14:02.742Z,"17 km SE of Waynoka, Oklahoma",earthquake,,0.4,0.22,29,reviewed,ok,ok
2020-11-23T04:25:25.220Z,33.8268333,-116.223,5.48,1.18,ml,36,69,0.03,0.22,ci,ci39474455,2020-11-23T14:34:56.704Z,"12km N of Indio, CA",earthquake,0.3,0.83,0.219,27,reviewed,ci,ci
2020-11-23T04:20:17.432Z,61.5153,-149.9375,43.2,1.6,ml,,,,0.66,ak,ak020f2irw1w,2020-11-23T04:29:29.663Z,"1 km SE of Big Lake, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-11-23T04:19:11.991Z,63.054,-149.8054,92.6,1.5,ml,,,,0.6,ak,ak020f2irnx7,2020-11-23T04:23:18.818Z,"57 km SW of Cantwell, Alaska",earthquake,,1,,,automatic,ak,ak
2020-11-23T04:17:39.740Z,35.5571667,-117.5785,0.36,0.66,ml,10,182,0.1774,0.14,ci,ci39474439,2020-11-23T04:21:17.952Z,"11km SE of Ridgecrest, CA",earthquake,0.63,31.61,0.161,8,automatic,ci,ci
2020-11-23T04:13:36.490Z,33.3028333,-116.3228333,10.3,0.73,ml,26,49,0.0604,0.28,ci,ci39474423,2020-11-23T04:17:22.312Z,"7km NE of Borrego Springs, CA",earthquake,0.46,0.99,0.195,12,automatic,ci,ci
2020-11-23T04:11:51.880Z,34.0793333,-116.7221667,5.17,1.2,ml,40,59,0.07385,0.18,ci,ci39474415,2020-11-23T14:36:10.830Z,"14km WNW of Morongo Valley, CA",earthquake,0.21,0.61,0.12,28,reviewed,ci,ci
